English	Preferred Chinese	Domain	Context	Forbidden Alternatives	Status	First Source	First Location	Last Verified Source	Last Verified Location	Notes
multiplier	乘子	harmonic analysis	Fourier-side symbol of a bounded operator		needs-review	Chapter 3, §5	PDF 70 / printed 58	Chapter 3, §5	PDF 70 / printed 58	Candidate only
bounded variation	有界变差	real analysis	finite total variation on the real line		needs-review	Chapter 3, §5	PDF 71 / printed 59	Chapter 3, §5	PDF 71 / printed 59	Candidate only
conjugation operator	共轭算子	Fourier analysis	circle analogue of the Hilbert transform		needs-review	Chapter 3, §6.2	PDF 74 / printed 62	Chapter 3, §6.2	PDF 74 / printed 62	Candidate only
translation invariant operator	平移不变算子	functional analysis	operator commuting with every translation		needs-review	Chapter 3, §6.7	PDF 78 / printed 66	Chapter 3, §6.7	PDF 78 / printed 66	Candidate only
singular integral	奇异积分	harmonic analysis	principal-value convolution operator with a homogeneous kernel		needs-review	Chapter 4, §1	PDF 81 / printed 69	Chapter 4, §1	PDF 81 / printed 69	Candidate only
homogeneous distribution	齐次分布	distribution theory	distribution satisfying the stated dilation law		needs-review	Chapter 4, §2	PDF 83 / printed 71	Chapter 4, §2	PDF 83 / printed 71	Candidate only
method of rotations	旋转方法	harmonic analysis	method averaging one-dimensional directional operators over the sphere		needs-review	Chapter 4, §3	PDF 85 / printed 73	Chapter 4, §3	PDF 85 / printed 73	Candidate only
directional Hilbert transform	方向 Hilbert 变换	harmonic analysis	Hilbert transform along a fixed direction		needs-review	Chapter 4, §3	PDF 86 / printed 74	Chapter 4, §3	PDF 86 / printed 74	Personal name preserved
rough maximal function	粗糙极大函数	harmonic analysis	maximal operator with an integrable angular factor		needs-review	Chapter 4, §3	PDF 86 / printed 74	Chapter 4, §3	PDF 86 / printed 74	Candidate only
Riesz transform	Riesz 变换	harmonic analysis	singular integral with multiplier minus i xi_j over absolute xi		needs-review	Chapter 4, §3	PDF 88 / printed 76	Chapter 4, §3	PDF 88 / printed 76	Personal name preserved
pseudo-differential operator	伪微分算子	operator theory	operator defined by a symbol depending on position and frequency		needs-review	Chapter 4, §6	PDF 97 / printed 85	Chapter 4, §6	PDF 97 / printed 85	Candidate only
spherical harmonic	球谐函数	harmonic analysis	restriction of a homogeneous harmonic polynomial to the sphere		needs-review	Chapter 4, §7.2	PDF 97 / printed 85	Chapter 4, §7.2	PDF 97 / printed 85	Candidate only
fractional integral	分数积分	harmonic analysis	Riesz-potential operator with multiplier absolute xi to the minus a		needs-review	Chapter 4, §7.7	PDF 100 / printed 88	Chapter 4, §7.7	PDF 100 / printed 88	Candidate only
Riesz potential	Riesz 势	potential theory	alternative name for the fractional integral operator		needs-review	Chapter 4, §7.7	PDF 100 / printed 88	Chapter 4, §7.7	PDF 100 / printed 88	Personal name preserved
fractional maximal function	分数极大函数	harmonic analysis	maximal operator with fractional volume normalization		needs-review	Chapter 4, §7.7	PDF 101 / printed 89	Chapter 4, §7.7	PDF 101 / printed 89	Candidate only
Sobolev space	Sobolev 空间	functional analysis	function space controlled by weak derivatives through a fixed order		needs-review	Chapter 4, §7.7	PDF 102 / printed 90	Chapter 4, §7.7	PDF 102 / printed 90	Personal name preserved
Sobolev embedding theorem	Sobolev 嵌入定理	functional analysis	embedding of Sobolev spaces into Lebesgue or continuous-function spaces		needs-review	Chapter 4, §7.7	PDF 102 / printed 90	Chapter 4, §7.7	PDF 102 / printed 90	Personal name preserved
Hörmander condition	Hörmander 条件	harmonic analysis	integral smoothness condition on a singular kernel		needs-review	Chapter 5, §1	PDF 103 / printed 91	Chapter 5, §1	PDF 103 / printed 91	Personal name and accent preserved
gradient condition	梯度条件	harmonic analysis	pointwise derivative estimate implying the Hörmander condition		needs-review	Chapter 5, §1	PDF 103 / printed 91	Chapter 5, §1	PDF 103 / printed 91	Candidate only
Dini-type condition	Dini 型条件	harmonic analysis	integrability condition on an angular modulus of continuity		needs-review	Chapter 5, §1	PDF 105 / printed 93	Chapter 5, §1	PDF 105 / printed 93	Personal name preserved
standard kernel	标准核	harmonic analysis	size and Hölder-regularity kernel used for generalized Calderón--Zygmund operators		needs-review	Chapter 5, §3	PDF 111 / printed 99	Chapter 5, §3	PDF 111 / printed 99	Candidate only
generalized Calderón--Zygmund operator	广义 Calderón--Zygmund 算子	harmonic analysis	L2-bounded operator represented away from the diagonal by a standard kernel		needs-review	Chapter 5, §3	PDF 112 / printed 100	Chapter 5, §3	PDF 112 / printed 100	Personal names and accents preserved
Calderón--Zygmund singular integral	Calderón--Zygmund 奇异积分	harmonic analysis	Calderón--Zygmund operator equal to its principal-value truncation limit		needs-review	Chapter 5, §4	PDF 114 / printed 102	Chapter 5, §4	PDF 114 / printed 102	Personal names and accents preserved
vector-valued singular integral	向量值奇异积分	harmonic analysis	singular integral acting on functions with values in a Banach space		needs-review	Chapter 5, §5	PDF 117 / printed 105	Chapter 5, §5	PDF 117 / printed 105	Candidate only
anisotropic dilation	非各向同性伸缩	harmonic analysis	dilation with coordinate-dependent exponents		needs-review	Chapter 5, §6.3	PDF 120 / printed 108	Chapter 5, §6.3	PDF 120 / printed 108	Candidate only
space of homogeneous type	齐型空间	harmonic analysis	quasi-metric measure space with a doubling measure		needs-review	Chapter 5, §6.4	PDF 121 / printed 109	Chapter 5, §6.4	PDF 121 / printed 109	Candidate only
strongly singular integral	强奇异积分	harmonic analysis	oscillatory singular integral whose kernel need not satisfy the Hörmander condition		needs-review	Chapter 5, §6.8	PDF 124 / printed 112	Chapter 5, §6.8	PDF 124 / printed 112	Candidate only
symbol class	符号类	pseudo-differential operators	class defined by differential size estimates for a pseudo-differential symbol		needs-review	Chapter 5, §6.9	PDF 125 / printed 113	Chapter 5, §6.9	PDF 125 / printed 113	Candidate only
atom	原子	harmonic analysis	basic compactly supported mean-zero building block for atomic Hardy space		needs-review	Chapter 6, §1	PDF 127 / printed 115	Chapter 6, §1	PDF 127 / printed 115	Candidate only
atomic H^1 space	原子 H^1 空间	harmonic analysis	Hardy space defined through absolutely summable atomic decompositions		needs-review	Chapter 6, §1	PDF 128 / printed 116	Chapter 6, §1	PDF 128 / printed 116	Candidate only
bounded mean oscillation	有界平均振荡	harmonic analysis	boundedness of mean oscillation over all cubes		needs-review	Chapter 6, §2	PDF 129 / printed 117	Chapter 6, §2	PDF 129 / printed 117	Candidate only
sharp maximal function	锐极大函数	harmonic analysis	supremum of local mean oscillations over cubes containing the point		needs-review	Chapter 6, §2	PDF 129 / printed 117	Chapter 6, §2	PDF 129 / printed 117	Candidate only
good-lambda inequality	good-$\lambda$ 不等式	harmonic analysis	distributional comparison used to control a maximal function by a sharp maximal function		needs-review	Chapter 6, §3	PDF 133 / printed 121	Chapter 6, §3	PDF 133 / printed 121	Candidate only
John--Nirenberg inequality	John--Nirenberg 不等式	harmonic analysis	exponential distribution estimate for BMO oscillation		needs-review	Chapter 6, §4	PDF 135 / printed 123	Chapter 6, §4	PDF 135 / printed 123	Personal names preserved
grand maximal function	grand 极大函数	Hardy spaces	supremum of non-tangential maximal functions over an admissible test-function family		needs-review	Chapter 6, §5.2	PDF 139 / printed 127	Chapter 6, §5.2	PDF 139 / printed 127	Candidate only
area integral	面积积分	Hardy spaces	conical square function built from the gradient of a harmonic function		needs-review	Chapter 6, §5.2	PDF 140 / printed 128	Chapter 6, §5.2	PDF 140 / printed 128	Candidate only
vanishing mean oscillation	消失平均振荡	harmonic analysis	BMO oscillation tending to zero at small and large cube scales		needs-review	Chapter 6, §5.7	PDF 143 / printed 131	Chapter 6, §5.7	PDF 143 / printed 131	Candidate only
commutator	交换子	operator theory	operator difference $M_bT-TM_b$		needs-review	Chapter 6, §5.8	PDF 143 / printed 131	Chapter 6, §5.8	PDF 143 / printed 131	Candidate only
A_p condition	$A_p$ 条件	harmonic analysis	weight condition characterizing maximal-operator estimates		needs-review	Chapter 7, §1	PDF 145 / printed 133	Chapter 7, §1	PDF 145 / printed 133	Notation preserved
reverse Hölder inequality	反向 Hölder 不等式	harmonic analysis	self-improving integrability estimate for $A_p$ weights		needs-review	Chapter 7, §2	PDF 149 / printed 137	Chapter 7, §2	PDF 149 / printed 137	Personal name preserved
A_infinity condition	$A_\infty$ 条件	harmonic analysis	quantitative absolute-continuity condition for weights		needs-review	Chapter 7, §2	PDF 151 / printed 139	Chapter 7, §2	PDF 151 / printed 139	Notation preserved
extrapolation theorem	外推定理	harmonic analysis	transfer of weighted boundedness from one exponent to all admissible exponents		needs-review	Chapter 7, §3	PDF 153 / printed 141	Chapter 7, §3	PDF 153 / printed 141	Candidate only
factorization theorem	因子分解定理	harmonic analysis	representation of an $A_p$ weight by two $A_1$ weights		needs-review	Chapter 7, §5.5	PDF 162 / printed 150	Chapter 7, §5.5	PDF 162 / printed 150	Candidate only
reverse Jensen inequality	反向 Jensen 不等式	harmonic analysis	exponential-average characterization associated with $A_\infty$		needs-review	Chapter 7, §5.3	PDF 162 / printed 150	Chapter 7, §5.3	PDF 162 / printed 150	Personal name preserved
strong A_p condition	强 $A_p$ 条件	harmonic analysis	$A_p$ condition tested over axis-parallel rectangles		needs-review	Chapter 7, §5.8	PDF 164 / printed 152	Chapter 7, §5.8	PDF 164 / printed 152	Notation preserved
basis	基	differentiation theory	collection of open sets used to define a geometric maximal operator		needs-review	Chapter 7, §5.8	PDF 165 / printed 153	Chapter 7, §5.8	PDF 165 / printed 153	Candidate only
two-weight inequality	双权不等式	harmonic analysis	norm inequality with different domain and target weights		needs-review	Chapter 7, §5.9	PDF 166 / printed 154	Chapter 7, §5.9	PDF 166 / printed 154	Candidate only
testing condition	测试条件	harmonic analysis	operator bound checked on a prescribed family of localized test functions		needs-review	Chapter 7, §5.9	PDF 167 / printed 155	Chapter 7, §5.9	PDF 167 / printed 155	Candidate only
Littlewood--Paley theory	Littlewood--Paley 理论	harmonic analysis	frequency decomposition and square-function estimates		needs-review	Chapter 8, §2	PDF 171 / printed 159	Chapter 8, §2	PDF 171 / printed 159	Personal names preserved; candidate only
Hörmander multiplier theorem	Hörmander 乘子定理	Fourier multipliers	multiplier criterion based on annular Sobolev estimates		needs-review	Chapter 8, §3	PDF 175 / printed 163	Chapter 8, §3	PDF 175 / printed 163	Personal name preserved; candidate only
Marcinkiewicz multiplier theorem	Marcinkiewicz 乘子定理	Fourier multipliers	bounded-variation multiplier criterion on dyadic intervals or rectangles		needs-review	Chapter 8, §4	PDF 178 / printed 166	Chapter 8, §4	PDF 178 / printed 166	Personal name preserved; candidate only
Bochner--Riesz multiplier	Bochner--Riesz 乘子	Fourier multipliers	radial multiplier with symbol $(1-|\xi|^2)_+^a$		needs-review	Chapter 8, §5	PDF 180 / printed 168	Chapter 8, §5	PDF 180 / printed 168	Personal names preserved; candidate only
Rademacher function	Rademacher 函数	probability and harmonic analysis	periodic sign functions used in randomization arguments		needs-review	Chapter 8, §6	PDF 189 / printed 177	Chapter 8, §6	PDF 189 / printed 177	Personal name preserved; candidate only
dyadic spherical maximal function	二进球面极大函数	harmonic analysis	maximal spherical average over dyadic radii		needs-review	Chapter 8, §6	PDF 190 / printed 178	Chapter 8, §6	PDF 190 / printed 178	Candidate only
Hilbert transform along a parabola	沿抛物线的 Hilbert 变换	singular integrals	principal-value transform along the curve $(t,t^2)$		needs-review	Chapter 8, §7	PDF 191 / printed 179	Chapter 8, §7	PDF 191 / printed 179	Personal name preserved; candidate only
Van der Corput lemma	Van der Corput 引理	oscillatory integrals	decay estimate controlled by a nonvanishing derivative of the phase		needs-review	Chapter 8, §7	PDF 194 / printed 182	Chapter 8, §7	PDF 194 / printed 182	Personal name preserved; candidate only
restriction theorem	限制定理	Fourier analysis	bounded restriction of the Fourier transform to a measure-zero curved set		needs-review	Chapter 8, §8.4	PDF 200 / printed 188	Chapter 8, §8.4	PDF 200 / printed 188	Candidate only
spherical maximal function	球面极大函数	harmonic analysis	maximal average over spheres with continuous radius		needs-review	Chapter 8, §8.6	PDF 203 / printed 191	Chapter 8, §8.6	PDF 203 / printed 191	Candidate only
Cotlar's lemma	Cotlar 引理	operator theory	almost-orthogonality criterion for sums of Hilbert-space operators		needs-review	Chapter 9, §1	PDF 207 / printed 195	Chapter 9, §1	PDF 207 / printed 195	Personal name preserved; candidate only
Carleson measure	Carleson 测度	harmonic analysis	measure on the upper half-space controlled by tents over open sets		needs-review	Chapter 9, §2	PDF 209 / printed 197	Chapter 9, §2	PDF 209 / printed 197	Personal name preserved; candidate only
weak boundedness property	弱有界性	singular integrals	scaled test-function bound used in the T1 criterion		needs-review	Chapter 9, §3	PDF 214 / printed 202	Chapter 9, §3	PDF 214 / printed 202	Candidate only
paraproduct	抛物积	harmonic analysis	operator used to prescribe T1 and T*1 data		needs-review	Chapter 9, §4	PDF 222 / printed 210	Chapter 9, §4	PDF 222 / printed 210	Candidate only
bilinear Hilbert transform	双线性 Hilbert 变换	harmonic analysis	the bilinear singular integral H_1		needs-review	Chapter 9, §5.3	PDF 226 / printed 214	Chapter 9, §5.3	PDF 226 / printed 214	Personal name preserved; candidate only
para-accretive	拟增生	singular integrals	bounded function satisfying the stated quantitative nondegeneracy condition		needs-review	Chapter 9, §5.4	PDF 227 / printed 215	Chapter 9, §5.4	PDF 227 / printed 215	Candidate only
