Unit ID	Source Scope	PDF Start	PDF End	QA Status	Translation File	QA Report
ch03-sec02	Chapter III, Section 2: Sobolev spaces on Lipschitz domains	147	200	passed	tex/chapters/ch03-sec02.tex	qa/batches/ch03-sec02.md
ch03-sec03	Chapter III, Section 3: Calculus near the boundary of domains	201	233	passed	tex/chapters/ch03-sec03.tex	qa/batches/ch03-sec03.md
ch03-sec04	Chapter III, Section 4: The Laplace problem	234	240	passed	tex/chapters/ch03-sec04.tex	qa/batches/ch03-sec04.md
ch04-sec01	Chapter IV introduction and Section 1: Nečas inequality	241	252	passed	tex/chapters/ch04-sec01.tex	qa/batches/ch04-sec01.md
ch04-sec02	Chapter IV, Section 2: Characterisation of gradient fields	253	257	passed	tex/chapters/ch04-sec02.tex	qa/batches/ch04-sec02.md
ch04-sec03	Chapter IV, Section 3: The divergence operator and related spaces	257	264	passed	tex/chapters/ch04-sec03.tex	qa/batches/ch04-sec03.md
ch04-sec04	Chapter IV, Section 4: The curl operator and related spaces	264	285	passed	tex/chapters/ch04-sec04.tex	qa/batches/ch04-sec04.md
ch04-sec05	Chapter IV, Section 5: The Stokes problem	285	302	passed	tex/chapters/ch04-sec05.tex	qa/batches/ch04-sec05.md
ch04-sec06	Chapter IV, Section 6: Regularity of the Stokes problem	302	317	passed	tex/chapters/ch04-sec06.tex	qa/batches/ch04-sec06.md
ch04-sec07	Chapter IV, Section 7: Stress boundary conditions	318	335	passed	tex/chapters/ch04-sec07.tex	qa/batches/ch04-sec07.md
ch04-sec08	Chapter IV, Section 8: The interface Stokes problem	335	340	pending	tex/chapters/ch04-sec08.tex	qa/batches/ch04-sec08.md
ch04-sec09	Chapter IV, Section 9: Vorticity boundary conditions	341	355	pending	tex/chapters/ch04-sec09.tex	qa/batches/ch04-sec09.md
ch05-sec01	Chapter V, Section 1: Leray's theorem	357	380	pending	tex/chapters/ch05-sec01.tex	qa/batches/ch05-sec01.md
ch05-sec02	Chapter V, Section 2: Strong solutions	381	401	pending	tex/chapters/ch05-sec02.tex	qa/batches/ch05-sec02.md
ch05-sec03	Chapter V, Section 3: The steady Navier-Stokes equations	402	418	pending	tex/chapters/ch05-sec03.tex	qa/batches/ch05-sec03.md
ch06-sec01	Chapter VI, Section 1: Weak solutions of the transport equation	421	443	pending	tex/chapters/ch06-sec01.tex	qa/batches/ch06-sec01.md
ch06-sec02	Chapter VI, Section 2: Nonhomogeneous incompressible Navier-Stokes equations	444	462	pending	tex/chapters/ch06-sec02.tex	qa/batches/ch06-sec02.md
ch07-sec01	Chapter VII, Section 1: Outflow boundary conditions	464	479	pending	tex/chapters/ch07-sec01.tex	qa/batches/ch07-sec01.md
ch07-sec02	Chapter VII, Section 2: Dirichlet boundary conditions through a penalty method	480	516	pending	tex/chapters/ch07-sec02.tex	qa/batches/ch07-sec02.md
app-a-sec01	Appendix A, Section 1: The scalar and vector cases	517	518	pending	tex/chapters/app-a-sec01.tex	qa/batches/app-a-sec01.md
app-a-sec02	Appendix A, Section 2: Extension to second-order tensors	519	520	pending	tex/chapters/app-a-sec02.tex	qa/batches/app-a-sec02.md
app-b-sec01	Appendix B, Section 1: Heat capacity	522	522	pending	tex/chapters/app-b-sec01.tex	qa/batches/app-b-sec01.md
app-b-sec02	Appendix B, Section 2: The first law of thermodynamics	522	522	pending	tex/chapters/app-b-sec02.tex	qa/batches/app-b-sec02.md
app-b-sec03	Appendix B, Section 3: The second law of thermodynamics	523	524	pending	tex/chapters/app-b-sec03.tex	qa/batches/app-b-sec03.md
app-b-sec04	Appendix B, Section 4: Specific variables	525	526	pending	tex/chapters/app-b-sec04.tex	qa/batches/app-b-sec04.md
backmatter-references	References	527	532	pending	tex/backmatter-references.tex	qa/batches/backmatter-references.md
backmatter-index	Index	533	535	pending	tex/backmatter-index.tex	qa/batches/backmatter-index.md
